item,outfit,z.outfit,infit,z.infit,X2,df.X2,RMSEA.X2,p.X2
108261745995_a,0.993424038237493,-0.120870204351867,0.995716566071247,-0.122067860127981,6.1604006526652,8,0,0.629269996958172
108261745995_b,0.996604942581083,-0.0370293828588461,0.997764352929717,-0.0613758263582612,5.60471018480595,8,0,0.691413418915617
108261745995_c,0.998397140095521,-0.00539335716200783,0.999052415711649,-0.0393339281101375,14.9026945576219,8,0.0119432505295901,0.0610653488722324
108261745995_d,0.988033513936267,-0.309007981707753,0.990891118221102,-0.376267551462306,7.17252669165814,8,0,0.518138049520952
108261789650,1.0005665824231,,0.984115532775839,-0.3317855798876,6.31779793559216,8,0,0.61168047216491
108261837168,0.929446908265445,-0.608612478507393,1.00089296713082,0.0353489191404665,4.80054568379905,8,0,0.778665881270057
108261839238_a,0.848026060603565,-0.938718832169477,0.970418049441992,-0.316086391086544,23.741487570774,8,0.01803582860946,0.00253195357725397
108261839238_b,0.866545231467392,-1.25393994438516,0.960941448393371,-0.485633970500563,17.5127076170701,8,0.0140205576820002,0.0251916980215066
108261840832_a,2.67147713336056,3.11130214264719,0.818702194465711,-1.41069214712441,32.9736152415623,8,0.0227171540175739,6.22660865088614e-05
108261840832_b,0.606815101148422,-0.86164962690363,0.945480759303919,-0.34372885879081,4.59130160815064,8,0,0.800230691964884
108261840832_c,0.533379273488269,-0.907232064795536,0.996860026223002,0.0183742205436314,3.30702742777837,8,0,0.913639615509946
108261840832_d,0.495078257287216,-1.34471292099012,0.938898003451201,-0.444369072533958,1.62056537802667,8,0,0.990520281467185
108261840832_e,0.525484139496522,-1.81281403545561,0.980025227755548,-0.117086236279134,2.11831805059717,8,0,0.977168037102289
108261840832_f,1.25019741206626,0.743871019024191,0.905269233833227,-0.857702440862878,11.4009268484578,8,0.00838323922835706,0.180000219412652
108261840832_g,0.544628345418542,-1.53023761280511,0.989690084567269,-0.0473205085628932,5.74717864813674,8,0,0.675527500222293
108261840832_h,0.626017144168253,-1.53327430634784,0.970969348996173,-0.226655349838401,3.54518657606209,8,0,0.895654564498177
108261841178_a,1.56288629763127,1.66901142137764,0.887616550581909,-1.08953360531595,24.114371510339,8,0.0182481944556564,0.00219273956380505
108261841178_b,1.0340277477374,0.228742671863704,0.905333408761808,-0.959116716305083,8.68114848989281,8,0.00375175191868396,0.369903591210298
108261841178_c,0.667996360390125,-1.32513503254947,0.919654082730318,-0.717020113904775,5.35716539583096,8,0,0.71880823593338
108261841178_d,1.37604834243981,1.17749389020687,0.83487263285332,-1.47734894669369,8.34916076387628,8,0.00268612322389878,0.400127249693113
108261841178_e,2.31298365982727,3.81803975361276,0.864495420386827,-1.39195477344805,17.5044437206901,8,0.0140144663768237,0.0252645979838866
108261841178_f,2.38790658297072,4.34934961333059,0.859199028975247,-1.44786823068907,21.5144601698399,8,0.016711389651818,0.00589936673799087
108261842334,0.968408829409633,-0.273251388460961,0.989849487558741,-0.103342472993365,8.06117732980848,8,0.00112436798992428,0.427517075043208
108261843918,0.987977489615208,-0.419420822313015,0.976455321214132,-0.53313304856435,7.49528372443318,8,0,0.484254920992685
108261844545_a,0.841567391311252,-0.692507462014084,0.935168305563977,-0.935550359873848,6.98545966058601,8,0,0.538202276445373
108261844545_b,0.86779913909479,-0.345122993289284,0.930018741619929,-0.977783333600024,9.12855103597432,8,0.00482918470133571,0.331567953832083
108261845966,0.982177770902062,-0.525764357645131,0.975114257674546,-0.4643925633193,8.70983994576665,8,0.00382995288925055,0.367361674281126
108261846529,0.951218072274528,,0.9598844661493,-0.853935550102609,3.80944362526246,8,0,0.873893766989483
108261848730,0.890395198134371,-1.15903046064514,0.990448608479705,-0.117366008726185,9.6260027136623,8,0.00579660687095169,0.29226253870598
108261849265_a,0.89243114639884,-0.529773414290027,0.951817357723795,-0.827716005745223,9.99728490450683,8,0.00642440962464151,0.265216531305661
108261849265_b,0.949434103518376,-0.558637797169622,0.968644994481513,-0.590262308434607,12.5075584107079,8,0.00965125734203116,0.129953788265601
108261850884,1.22659284315142,1.34024259970371,0.993427277883931,0.0309600212194139,12.3994507056114,8,0.00953481875839292,0.134251389536063
108261854379_a,0.609809500237917,-1.17208118230288,0.901173847532581,-0.750684515080696,5.18360118287148,8,0,0.737784473075642
108261854379_b,0.986567912001961,-0.0496296279821203,0.927408369681283,-0.779293634378158,13.4951304906272,8,0.0106561964734735,0.0959113713578877
108261854379_c,0.767778416023263,-1.4030951278272,0.931008543535294,-0.596703870379529,2.3920448285936,8,0,0.966575034102073
108261854379_d,0.591405921638285,-1.39528668737682,0.905599797582899,-0.706871422988647,2.13215986421985,8,0,0.976689786119147
108262156902,0.701662470147976,-1.39261359520885,1.02231899437901,0.251821029545498,12.9983206032585,8,0.0101630782377783,0.111907407414297
108262416108,1.02262237146852,,0.954627548442837,-0.505831169486535,7.81365568421244,8,0,0.451881439071157
108263408174,0.97803654542803,-0.54403128139284,0.992328402466156,-0.079777460332955,6.58509904819823,8,0,0.581984648324507
108263491755,0.969690678425985,0.00498433473992921,0.971922067458241,-0.720614242963873,9.39309999355711,8,0.0053654278519818,0.310226885336909
108263492890_a,0.983082319784978,-0.112538103527499,0.990102754218479,-0.300356244103657,9.8754676661446,8,0.00622541065731566,0.273875522263476
108263492890_b,0.979766373426592,-0.196997695958203,0.990972675179846,-0.298978088471057,10.7210214587859,8,0.00749858290848014,0.218012995915287
108263499855,0.997093945836935,-0.00227205462640458,0.993465668610211,-0.322378362153907,3.77287145847532,8,0,0.877012315875656
109383211474,0.993326133484395,,0.986767053412164,-0.189149302039403,4.07323189016065,8,0,0.850456480347603
109402902256,1.02511876118628,,0.973481470516678,-0.236799561603021,6.01695806060176,8,0,0.645332239083164
109428343936,1.00402373460427,,0.990520286917087,-0.153599540101645,10.3859142116834,8,0.00702167341734396,0.238977352977647
109476039113,0.989610039482279,-0.247774583810297,0.987579430294217,-0.384380090858175,10.9623190951701,8,0.00782400525142254,0.203843406538416
109476641967,1.0445281880072,0.6069091366542,0.972307841083384,-0.295167424254332,14.0067934723442,8,0.0111412665412273,0.0815885186823475
109476651797,0.994132520462644,,0.987123690556526,-0.187245957539753,11.9008045210267,8,0.00897822134078324,0.155684920862099
109476653678,0.974407276718378,-0.366129024366929,0.969848582376172,-0.366703882075527,6.20729249849635,8,0,0.624024412568824
109476764573,1.00650756293856,0.0958900859154068,0.97819689532349,-0.184541608362186,11.7143427315988,8,0.00876101051527602,0.16441148080563
109500056430,0.950506999257382,-0.506771477266358,0.989662585624805,-0.0906832744452506,4.20994806376261,8,0,0.837701699533193
109500059689,0.993148336742183,-0.170695820774406,0.987844968773435,-0.194625938900212,10.0455056686127,8,0.00650149986607788,0.261846534156021
109500065786,0.995059798588606,-0.178913607671382,0.994856818593228,-0.0618110667118865,3.76715548079554,8,0,0.877496711153188
109500188244,0.976474462759249,-0.259893493222983,0.9817366085527,-0.215157553637285,0.774209448822282,8,0,0.99931214674263
109502461200,0.969099275238266,-0.150514427935672,1.00013552412247,0.0185484118263023,6.0775688908029,8,0,0.638543272968901
109503738980,0.965312683540332,-0.276731274472491,0.982304414099675,-0.664605167127586,17.4146267841597,8,0.0139480908807045,0.0260698084648833
200195170478,0.986000166237699,-0.0412154866559284,0.990461499503411,-0.0552642534255004,5.69129913965114,8,0,0.68176591091842
200195171840,0.999505060001759,,0.987873052304864,-0.520455817387765,6.76767060738522,8,0,0.561894257677512
200195172147,0.991648415652245,-0.147036460508483,0.993141304223596,-0.29785341137291,7.88382535188375,8,0,0.444900037021515
