item,outfit,z.outfit,infit,z.infit,X2,df.X2,RMSEA.X2,p.X2
202582590334,0.969646127293311,-0.148327172919888,0.979956641018238,-0.733760871977756,5.23112945681624,8,0,0.732611197047869
202582591206,0.977403515819009,-0.1713661085505,0.986383021778021,-0.485379640085556,12.0572136301015,8,0.00707212562977649,0.14866934967647
202582592449,0.974807252984872,-0.140441804617466,0.979493671119284,-0.539577330266931,10.3701326016693,8,0.00540533171667792,0.240002213908212
202582593136,0.984113330708912,-0.0757366121908757,0.978995855105936,-0.540944680609461,6.54665061250476,8,0,0.586237907267324
202582595169,0.983178922205898,-0.12003365177813,0.981458703941879,-0.462299892680129,3.5548909947845,8,0,0.894888057265062
202582596261,0.975689880891034,-0.15595626122773,0.989888256627498,-0.361011042825965,7.57564372165485,8,0,0.475979530185616
202586376419,0.939226065233181,-0.441658459494952,0.99852619930235,0.0119951600857747,10.4084013695404,8,0.00544879491220957,0.237522921491219
202586638791,0.950793750006954,-0.649895962787862,0.996428428844192,-0.0366522927518231,7.64091717374563,8,0,0.469308319682241
202586682319,0.984524143183604,-0.329770743434879,0.994489852986738,-0.0726677707914226,5.91053313060637,8,0,0.657252925911091
202586684934,1.00629024639006,0.092238715725763,0.997790897006791,0.0140056045049753,7.20955577111869,8,0,0.514201361605924
202586685575,1.01159931197389,0.132858202931824,0.991288691503655,-0.0696508388299791,10.9311228677386,8,0.00601108737638053,0.205632500665695
202586686154,1.0420263614369,0.281496286208189,0.991031037434415,-0.0132257386865457,12.4029516921605,8,0.0073672937976836,0.134110323047619
202586687422,0.993202692417331,0.0470100755536997,0.985715902210312,-0.0595645864559604,5.15051505680349,8,0,0.741374438081305
202586688758,0.999538540064955,-0.00455015731230877,0.999963901825165,0.0106611392049223,9.02380500930088,8,0.00355258644233151,0.340291775855585
202586691260,0.963772216074686,-0.367148971146766,1.00783900148031,0.141528434079092,8.15003425010517,8,0.00135997597086709,0.418953355979302
202586693378,1.0243270642018,0.194499277229548,0.986957708002657,-0.0571450492220777,4.92548303106247,8,0,0.765510132200833
202586696671,0.999639943565164,0.00261902617596878,0.99980823034169,0.00747143595356146,8.44700132237168,8,0.0023474180136933,0.391066504676085
202586735383,0.973339368086974,-0.523205250804398,0.995993311002908,-0.047279302846009,10.3432409084873,8,0.00537457959973219,0.241756432445245
202586736393,0.848416192307873,-0.578379386908302,1.02958023755143,0.383844569168437,16.0996238725795,8,0.00999236880457634,0.0409761829339465
202586739655,0.9710510119684,-0.0441986117832519,0.996748777890776,-0.0280273469571127,3.30008373348175,8,0,0.91413954198774
202586740755,0.995455251447187,0.0174699351880158,0.996441430219621,-0.0332309573518584,5.62595865389931,8,0,0.689048435250297
202586743129,0.980514002403671,-0.115234415632574,0.993900573249984,-0.169629866411908,11.2216785338896,8,0.00630198159825259,0.189452181320137
202586786144,0.984993259235173,-0.114929760525572,0.993610319764289,-0.0389985898986407,11.0394954664714,8,0.00612120295145264,0.199471359082725
202594392282,0.976783521067174,0.0513343975914723,1.00150166464175,0.0500141141439727,4.2205867131942,8,0,0.836693011859948
202594447390,0.940392080781426,-0.317795872964292,0.984104134542927,-0.175100511547404,20.7279869151972,8,0.0125261004209366,0.00790620444896648
202594609490_a,0.982134682133327,-0.0377405522819548,0.991515236144335,-0.293290420746219,3.45753077659992,8,0,0.902460573668103
202594609490_b,1.09606800440929,0.403938661923326,0.981133508394568,-0.291173225067779,13.7003449360886,8,0.00838275159837546,0.0899179810997055
202594609490_c,1.00106238507259,0.0842689448576005,0.991206599256009,-0.196315386157706,10.4618841416362,8,0.00550896273222659,0.234091482248777
202594609490_d,1.00137140544409,0.0937258906872304,0.99375337814987,-0.127518847357303,2.77248829254692,8,0,0.947813888666388
202594615847_a,0.998326967732296,0.125122520480113,0.986081847231162,-0.337337258339912,7.64678789646161,8,0,0.468710574998106
202594615847_b,0.998564708480751,0.113590740043356,0.989706717334453,-0.195504566973985,13.6432027142156,8,0.00834062997680362,0.0915524483512305
202594615847_c,0.859598399239646,-0.0198171396242931,1.01532913769078,0.233753394863891,14.2611467589855,8,0.00878542894922113,0.0752075685115431
