grade,n_hs,n_obs,q_state_variance,mean_se_raw,mean_se_smooth,mean_var_raw,mean_var_smooth,mean_smoothing_gain,n_skip_T1,n_fail,elapsed_min
10,6407,32191,0.444170077859288,0.49912335266233,0.386991150464462,0.261094568478119,0.153533508776777,0.411962073084472,0,0,0.564660517374675
11,7002,29959,0.733962874228261,0.527446575736774,0.433231014684769,0.295371212353355,0.194132584112154,0.342750491608804,38,0,0.616090746720632
12,10804,60807,0.619585561401317,0.442337273026863,0.36870052785308,0.205946264370025,0.139985486998694,0.320281494656386,199,0,0.948671086629232
