param,estimate,ci_low,ci_high,theta_eq_pop,half_life_pop
mean_T0,-0.049,-0.125,0.026,0.647058823529412,407.733635623497
var_T0,0.76,0.707,0.816,0.647058823529412,407.733635623497
phi,-0.0017,-0.0027,-0.001,0.647058823529412,407.733635623497
cint,0.0011,6e-04,0.0016,0.647058823529412,407.733635623497
sigma,0.046,0.041,0.053,0.647058823529412,407.733635623497
manifest_var,0.572,0.562,0.582,0.647058823529412,407.733635623497
