grade,aic_static,aic_dynamic,bic_static,bic_dynamic,lrt_chisq,lrt_df,lrt_p
10,78975.1376058488,78893.3199701979,79000.2759324168,78943.596623334,87.8176356508775,3,6.44521232109742e-19
11,83303.9037239063,83212.2112162248,83328.826479084,83262.0567265802,97.6925076814514,3,4.87070002006509e-21
12,156716.253557998,156549.340682801,156743.299938577,156603.433443959,172.912875197333,3,2.99081918438507e-37
