grade,param,est_pretty,ci_pretty
10,b,-0.0695,"[-0.1186, -0.0218]"
10,alpha,0.0087,"[0.0035, 0.0143]"
10,alpha0,0.0070,"[-0.0141, 0.0296]"
11,b,-0.0427,"[-0.0912, 0.0097]"
11,alpha,0.0199,"[0.0138, 0.0264]"
11,alpha0,0.0049,"[-0.0178, 0.0296]"
12,b,0.0018,"[-0.0255, 0.0295]"
12,alpha,0.0027,"[-0.0016, 0.0070]"
12,alpha0,0.0212,"[0.0012, 0.0399]"
