Model,Grade,ChiSq,df,p,CFI,TLI,RMSEA,RMSEA_CI,SRMR,BIC
LGCM,10,17.08,5,0.00436,0.996,0.996,0.019,"[0.010, 0.030]",0.011,57703
LCSM,10,7.11,2,0.0285,0.998,0.995,0.02,"[0.006, 0.037]",0.008,57720
LGCM,11,38.45,5,3.07e-07,0.991,0.989,0.031,"[0.022, 0.040]",0.017,69015
LCSM,11,6.81,2,0.0332,0.999,0.996,0.019,"[0.004, 0.035]",0.007,69010
LGCM,12,32.5,5,4.72e-06,0.997,0.996,0.023,"[0.016, 0.030]",0.011,105984
LCSM,12,15.2,2,0.000501,0.998,0.995,0.025,"[0.014, 0.037]",0.01,105995
