grade,param,est_pretty,ci_pretty
10,i_mean,0.022,"[0.001, 0.044]"
10,s_mean,0.015,"[0.004, 0.023]"
10,i_var,0.329,—
10,s_var,0.022,—
11,i_mean,0.006,"[-0.015, 0.028]"
11,s_mean,0.028,"[0.017, 0.039]"
11,i_var,0.425,—
11,s_var,0.035,—
12,i_mean,0.038,"[0.021, 0.057]"
12,s_mean,0.006,"[-0.002, 0.013]"
12,i_var,0.466,—
12,s_var,0.016,—
