model,grade,chisq,df,p,CFI,TLI,RMSEA,RMSEA_CIlow,RMSEA_CIhigh,SRMR,AIC,BIC
LGCM,10,134.131213170793,31,8.65973959207622e-15,0.982015194976617,0.983755659978879,0.0227869843657196,0.0189079649240551,0.0268145313113107,0.0344663270455421,73180.5464146092,73268.4933180905
LCSM,10,93.278621428024,10,1.22124532708767e-15,0.985477240857055,0.959336274399753,0.0360528333994654,0.0295693095074425,0.0429167229915398,0.0280807941758484,73181.6938228664,73411.7088012021
LGCM,11,150.224024405422,31,0,0.978336468434038,0.980432939230744,0.0234363507217568,0.0197587392170974,0.0272551443517504,0.0441614371889169,80595.3041984177,80684.4055627374
LCSM,11,71.5471063848197,10,2.22674101379994e-11,0.98881661906138,0.968686533371864,0.0296478200885229,0.0234054498592545,0.0362920226112161,0.0315443859555533,80558.6272803971,80791.6616178486
LGCM,12,191.054988706734,31,0,0.989802853552377,0.990789674176341,0.0218605695552539,0.0189413597823681,0.0248879794011315,0.0389811866093581,136846.316997051,136941.056729344
LCSM,12,165.603382674902,10,0,0.990086466571881,0.972242106401266,0.0379504761509799,0.0329881077730705,0.0431410778114095,0.0212198523056261,136862.865391019,137110.646229326
