grade,param,est,ci_lower,ci_upper
11,b,-0.0426737171715256,-0.0912411970326641,0.00969528825989342
11,alpha,0.0199374161410602,0.0138309492055315,0.0264015085232522
11,alpha0,0.00488231666682843,-0.017788429511218,0.0296248961191957
