model,grade,chisq,df,p,CFI,TLI,RMSEA,RMSEA_CIlow,RMSEA_CIhigh,SRMR,AIC,BIC
LGCM,10,17.0768558090007,5,0.00435632080988757,0.996340515684169,0.995608618821003,0.019416215178609,0.00983678317355343,0.0298883958592547,0.0110466203383306,57642.5318077878,57703.4181255826
LCSM,10,7.11425831751174,2,0.0285205853698858,0.998450296302611,0.995350888907833,0.019977860224125,0.00554740217632264,0.0367563445507879,0.00799759946196811,57638.5692102963,57719.750967356
LGCM,11,38.4469443990891,5,3.06825490903329e-07,0.990850067010142,0.98902008041217,0.0309088017324902,0.0222472638516679,0.0403640200210227,0.0165169407702067,68953.2875692599,69014.9731291735
LCSM,11,6.80928430124802,2,0.0332187052482585,0.998684345315359,0.996053035946076,0.0185316536393074,0.00449619290144532,0.0346474711205621,0.00715191502947049,68927.649909162,69009.8973223802
LGCM,12,32.5040115810222,5,4.72067337942139e-06,0.996804432325582,0.996165318790699,0.0225642410814884,0.0155627495026994,0.0302436697998826,0.0108746299813165,105918.518250898,105984.107296332
LCSM,12,15.1994107822872,2,0.000500598892585469,0.998466419696887,0.995399259090662,0.0247155333537804,0.0141329275198905,0.0369699821685052,0.00963593358341283,105907.213650099,105994.665710678
