param,mean,sd,2.5%,50%,97.5%
mean_T0,-0.0492,0.0386,-0.1241,-0.0481,0.0288
sigma,0.0463,0.0033,0.0407,0.0461,0.053
manifest_var,0.5719,0.0051,0.5613,0.5719,0.5818
var_T0,0.7636,0.029,0.7097,0.763,0.8211
phi,-0.0019,4e-04,-0.0029,-0.0019,-0.0012
cint,0.0011,3e-04,6e-04,0.0011,0.0016
